timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685457448828,1,SingIn,200,OK,Thread Group 1-5,text,true,,3923,605,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,1,0,0
1685457448878,3,Home,200,OK,Thread Group 1-14,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,2,0,0
1685457448878,2,Home-0,302,Found,Thread Group 1-14,,true,,146,195,25,25,http://localhost:8080/jpetstore,2,0,0
1685457448880,1,Home-1,200,OK,Thread Group 1-14,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,1,0,0
1685457448881,1,Login,200,OK,Thread Group 1-24,text,true,,5262,1625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457448881,1,Login-0,302,Found,Thread Group 1-24,,true,,193,940,25,25,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
1685457448882,0,Login-1,200,OK,Thread Group 1-24,text,true,,5069,685,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1685457448937,1,Main Catalog,200,OK,Thread Group 1-6,text,true,,4832,218,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457448949,2,SingOut,200,OK,Thread Group 1-16,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457448949,1,SingOut-0,302,Found,Thread Group 1-16,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1685457448950,1,SingOut-1,200,OK,Thread Group 1-16,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457448970,2,SingIn,200,OK,Thread Group 1-3,text,true,,3923,605,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,2,0,0
1685457449086,2,Login,200,OK,Thread Group 1-25,text,true,,5262,1625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457449086,1,Login-0,302,Found,Thread Group 1-25,,true,,193,940,25,25,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
1685457449087,1,Login-1,200,OK,Thread Group 1-25,text,true,,5069,685,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457449280,1,Main Catalog,200,OK,Thread Group 1-8,text,true,,4832,218,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457449298,1,SingIn,200,OK,Thread Group 1-1,text,true,,3921,605,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,1,0,0
